px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.85113	-5.72346	-2.55031	-2.65113	-0.152799	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0
8.9357	-5.64797	-2.43131	-2.62411	-0.0980279	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	0
9.05148	-5.55257	-2.48574	-2.60923	-0.0777567	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0
9.20002	-5.4852	-2.63239	-2.64364	-0.130594	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	0
9.33563	-5.39143	-2.67356	-2.63713	-0.116513	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0
9.41333	-5.29915	-2.47535	-2.59005	-0.0342602	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	0
9.53956	-5.20017	-2.52314	-2.57711	-0.0189817	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0
9.63065	-5.11586	-2.4077	-2.54694	0.0310665	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	0
9.75007	-5.00993	-2.46058	-2.52814	0.0484384	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0
9.83655	-4.9172	-2.36297	-2.49234	0.0991785	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	0
9.94844	-4.81066	-2.41015	-2.47236	0.113814	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0
10.0228	-4.70631	-2.31558	-2.42483	0.173591	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	0
10.1326	-4.57231	-2.40219	-2.38951	0.199328	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0
10.2145	-4.46083	-2.37297	-2.35065	0.237444	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	0
10.3279	-4.30536	-2.49233	-2.3089	0.265996	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0
10.4528	-4.20835	-2.58696	-2.32885	0.213579	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	0
10.5566	-4.05815	-2.6652	-2.29402	0.235974	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0
10.6566	-3.9409	-2.68259	-2.27928	0.237437	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0
